0417182848
Bag = 9 , Depth = 1783 , Pressure = 2.52672 , Temperature = 24.255
Bag = 10 , Depth = 1786 , Pressure = 2.53178 , Temperature = 20.64
Bag = 11 , Depth = 1781 , Pressure = 2.52487 , Temperature = 20.5423
Bag = 12 , Depth = 1781 , Pressure = 2.5243 , Temperature = 20.3468
Bag = 13 , Depth = 1781 , Pressure = 2.52455 , Temperature = 20.64
Bag = 14 , Depth = 1791 , Pressure = 2.5388 , Temperature = 20.2491
Bag = 15 , Depth = 1782 , Pressure = 2.526 , Temperature = 20.3468
Bag = 16 , Depth = 1787 , Pressure = 2.53319 , Temperature = 20.5423
Bag = 17 , Depth = 1785 , Pressure = 2.53033 , Temperature = 20.1514
Bag = 18 , Depth = 1794 , Pressure = 2.54261 , Temperature = 20.9331
Bag = 19 , Depth = 1792 , Pressure = 2.54 , Temperature = 21.0308
Bag = 20 , Depth = 1792 , Pressure = 2.53946 , Temperature = 21.4216
Bag = 21 , Depth = 1792 , Pressure = 2.53965 , Temperature = 20.9331
Bag = 22 , Depth = 1785 , Pressure = 2.52981 , Temperature = 20.4006
Bag = 23 , Depth = 1790 , Pressure = 2.53758 , Temperature = 20.5423
Bag = 24 , Depth = 1832 , Pressure = 2.59667 , Temperature = 21.8124
Bag = 25 , Depth = 1776 , Pressure = 2.51795 , Temperature = 20.5423
Bag = 26 , Depth = 1922 , Pressure = 2.72398 , Temperature = 20.9331
Bag = 27 , Depth = 1783 , Pressure = 2.52749 , Temperature = 21.3239
Bag = 28 , Depth = 1811 , Pressure = 2.56672 , Temperature = 21.3239
Bag = 29 , Depth = 1798 , Pressure = 2.54854 , Temperature = 20.8354
Bag = 30 , Depth = 1796 , Pressure = 2.5461 , Temperature = 20.7377
Bag = 31 , Depth = 1781 , Pressure = 2.52483 , Temperature = 21.0308
Bag = 32 , Depth = 1788 , Pressure = 2.53388 , Temperature = 21.2262
Bag = 33 , Depth = 1798 , Pressure = 2.54807 , Temperature = 23.8642
Bag = 34 , Depth = 1779 , Pressure = 2.52119 , Temperature = 20.9331
Bag = 35 , Depth = 1794 , Pressure = 2.54267 , Temperature = 19.6629
Bag = 36 , Depth = 1788 , Pressure = 2.53391 , Temperature = 19.8583
Bag = 37 , Depth = 1792 , Pressure = 2.53952 , Temperature = 20.7377
Bag = 38 , Depth = 1786 , Pressure = 2.53222 , Temperature = 21.1285
Bag = 39 , Depth = 1789 , Pressure = 2.53641 , Temperature = 20.8354
Bag = 40 , Depth = 1796 , Pressure = 2.54627 , Temperature = 20.5423
Bag = 41 , Depth = 1792 , Pressure = 2.53986 , Temperature = 20.4446
Bag = 42 , Depth = 1800 , Pressure = 2.55104 , Temperature = 20.2491
Bag = 43 , Depth = 1773 , Pressure = 2.51316 , Temperature = 20.8354
Bag = 44 , Depth = 1790 , Pressure = 2.53693 , Temperature = 19.956
Bag = 45 , Depth = 1789 , Pressure = 2.53595 , Temperature = 19.8583
Bag = 46 , Depth = 1794 , Pressure = 2.54309 , Temperature = 20.2491
Bag = 47 , Depth = 1787 , Pressure = 2.53285 , Temperature = 20.2491
Bag = 48 , Depth = 1784 , Pressure = 2.52888 , Temperature = 20.3468
Bag = 49 , Depth = 1777 , Pressure = 2.51837 , Temperature = 19.0767
Bag = 50 , Depth = 1792 , Pressure = 2.53948 , Temperature = 18.979
0417182917
Bag = 1 , Depth = 1796 , Pressure = 2.54536 , Temperature = 18.4905
Bag = 2 , Depth = 1797 , Pressure = 2.54696 , Temperature = 18.7836
Bag = 3 , Depth = 1789 , Pressure = 2.53637 , Temperature = 20.9331
Bag = 4 , Depth = 1779 , Pressure = 2.52117 , Temperature = 21.0308
Bag = 5 , Depth = 1787 , Pressure = 2.53254 , Temperature = 20.4446
Bag = 6 , Depth = 1780 , Pressure = 2.52367 , Temperature = 20.8354
Bag = 7 , Depth = 1787 , Pressure = 2.53378 , Temperature = 20.5423
Bag = 8 , Depth = 1785 , Pressure = 2.52983 , Temperature = 21.1285
Bag = 9 , Depth = 1780 , Pressure = 2.52306 , Temperature = 24.3332
Bag = 10 , Depth = 1787 , Pressure = 2.53367 , Temperature = 20.64
Bag = 11 , Depth = 1780 , Pressure = 2.52302 , Temperature = 20.5423
Bag = 12 , Depth = 1781 , Pressure = 2.52445 , Temperature = 20.3468
Bag = 13 , Depth = 1782 , Pressure = 2.52581 , Temperature = 20.64
Bag = 14 , Depth = 1791 , Pressure = 2.53868 , Temperature = 20.2491
Bag = 15 , Depth = 1781 , Pressure = 2.52516 , Temperature = 20.3468
Bag = 16 , Depth = 1787 , Pressure = 2.53344 , Temperature = 20.5423
Bag = 17 , Depth = 1783 , Pressure = 2.52777 , Temperature = 20.1514
Bag = 18 , Depth = 1794 , Pressure = 2.54347 , Temperature = 20.9331
Bag = 19 , Depth = 1793 , Pressure = 2.54118 , Temperature = 21.0308
Bag = 20 , Depth = 1791 , Pressure = 2.53866 , Temperature = 21.4216
Bag = 21 , Depth = 1792 , Pressure = 2.53994 , Temperature = 20.9331
Bag = 22 , Depth = 1787 , Pressure = 2.53368 , Temperature = 20.4446
Bag = 23 , Depth = 1794 , Pressure = 2.54314 , Temperature = 20.5423
Bag = 24 , Depth = 1829 , Pressure = 2.59306 , Temperature = 21.7147
Bag = 25 , Depth = 1776 , Pressure = 2.51783 , Temperature = 20.5423
Bag = 26 , Depth = 1922 , Pressure = 2.72381 , Temperature = 20.9331
Bag = 27 , Depth = 1783 , Pressure = 2.52792 , Temperature = 21.3239
Bag = 28 , Depth = 1807 , Pressure = 2.56189 , Temperature = 21.3239
Bag = 29 , Depth = 1800 , Pressure = 2.55142 , Temperature = 20.8354
Bag = 30 , Depth = 1794 , Pressure = 2.54334 , Temperature = 20.7377
Bag = 31 , Depth = 1787 , Pressure = 2.53302 , Temperature = 21.0308
Bag = 32 , Depth = 1788 , Pressure = 2.53428 , Temperature = 21.2262
Bag = 33 , Depth = 1799 , Pressure = 2.54952 , Temperature = 23.8642
Bag = 34 , Depth = 1778 , Pressure = 2.5197 , Temperature = 20.9331
Bag = 35 , Depth = 1795 , Pressure = 2.5449 , Temperature = 19.6629
Bag = 36 , Depth = 1785 , Pressure = 2.53054 , Temperature = 19.8583
Bag = 37 , Depth = 1789 , Pressure = 2.53641 , Temperature = 20.7377
Bag = 38 , Depth = 1785 , Pressure = 2.53021 , Temperature = 21.192
Bag = 39 , Depth = 1790 , Pressure = 2.53796 , Temperature = 20.8354
Bag = 40 , Depth = 1794 , Pressure = 2.5433 , Temperature = 20.5423
Bag = 41 , Depth = 1790 , Pressure = 2.53677 , Temperature = 20.4446
Bag = 42 , Depth = 1796 , Pressure = 2.54532 , Temperature = 20.2491
Bag = 43 , Depth = 1776 , Pressure = 2.51799 , Temperature = 20.8354
Bag = 44 , Depth = 1790 , Pressure = 2.53735 , Temperature = 19.956
Bag = 45 , Depth = 1789 , Pressure = 2.53607 , Temperature = 19.8583
Bag = 46 , Depth = 1792 , Pressure = 2.54068 , Temperature = 20.2491
Bag = 47 , Depth = 1782 , Pressure = 2.52558 , Temperature = 20.2491
Bag = 48 , Depth = 1783 , Pressure = 2.52728 , Temperature = 20.4446
Bag = 49 , Depth = 1775 , Pressure = 2.51617 , Temperature = 19.0767
Bag = 50 , Depth = 1792 , Pressure = 2.54019 , Temperature = 18.979
0417182924
Bag = 1 , Depth = 1794 , Pressure = 2.54343 , Temperature = 18.4905
Bag = 2 , Depth = 1799 , Pressure = 2.54994 , Temperature = 18.7836
Bag = 3 , Depth = 1792 , Pressure = 2.53946 , Temperature = 20.9331
Bag = 4 , Depth = 1776 , Pressure = 2.51781 , Temperature = 21.0308
Bag = 5 , Depth = 1785 , Pressure = 2.53031 , Temperature = 20.4446
Bag = 6 , Depth = 1778 , Pressure = 2.52001 , Temperature = 20.8354
Bag = 7 , Depth = 1790 , Pressure = 2.5371 , Temperature = 20.5423
Bag = 8 , Depth = 1783 , Pressure = 2.52708 , Temperature = 21.1285
Bag = 9 , Depth = 1785 , Pressure = 2.5304 , Temperature = 24.3527
Bag = 10 , Depth = 1782 , Pressure = 2.52571 , Temperature = 20.64
Bag = 11 , Depth = 1777 , Pressure = 2.51953 , Temperature = 20.5423
Bag = 12 , Depth = 1782 , Pressure = 2.5259 , Temperature = 20.3468
Bag = 13 , Depth = 1779 , Pressure = 2.52209 , Temperature = 20.64
Bag = 14 , Depth = 1787 , Pressure = 2.5337 , Temperature = 20.2491
