0417195041
Bag = 22 , Depth = 1844.47 , Temperature = 20.4446
Bag = 23 , Depth = 1817.59 , Temperature = 20.8354
Bag = 24 , Depth = 1845.21 , Temperature = 21.8075
Bag = 25 , Depth = 1832.25 , Temperature = 20.4446
Bag = 26 , Depth = 1914.33 , Temperature = 20.8354
Bag = 27 , Depth = 1821.28 , Temperature = 21.2262
Bag = 28 , Depth = 1842.27 , Temperature = 21.2262
Bag = 29 , Depth = 1837.34 , Temperature = 20.7377
Bag = 30 , Depth = 1831.04 , Temperature = 20.7377
Bag = 31 , Depth = 1821.82 , Temperature = 21.0308
Bag = 32 , Depth = 1825.33 , Temperature = 21.1285
Bag = 33 , Depth = 1829.45 , Temperature = 23.8642
Bag = 34 , Depth = 1838.93 , Temperature = 20.8354
Bag = 35 , Depth = 1831.97 , Temperature = 19.4675
Bag = 36 , Depth = 1825.37 , Temperature = 19.7606
Bag = 37 , Depth = 1823.48 , Temperature = 20.7377
Bag = 38 , Depth = 1821.79 , Temperature = 21.1285
Bag = 39 , Depth = 1824.39 , Temperature = 20.7377
Bag = 40 , Depth = 1831.55 , Temperature = 20.3468
Bag = 41 , Depth = 1832.61 , Temperature = 20.3468
Bag = 42 , Depth = 1836.59 , Temperature = 20.1514
Bag = 43 , Depth = 1837.04 , Temperature = 20.64
Bag = 44 , Depth = 1824.27 , Temperature = 19.7606
Bag = 45 , Depth = 1826.07 , Temperature = 19.7606
Bag = 46 , Depth = 1831.86 , Temperature = 20.1368
Bag = 47 , Depth = 1822.39 , Temperature = 20.0537
Bag = 48 , Depth = 1845.66 , Temperature = 20.1514
Bag = 49 , Depth = 1821.32 , Temperature = 18.979
Bag = 50 , Depth = 1837.57 , Temperature = 18.8813
0417195135
Bag = 1 , Depth = 1833.71 , Temperature = 18.3928
Bag = 2 , Depth = 1833.41 , Temperature = 18.5882
Bag = 3 , Depth = 1831.11 , Temperature = 20.8989
Bag = 4 , Depth = 1839.47 , Temperature = 20.9331
Bag = 5 , Depth = 1850.1 , Temperature = 20.5423
Bag = 6 , Depth = 1842.88 , Temperature = 20.8354
Bag = 7 , Depth = 1826.48 , Temperature = 20.4446
Bag = 8 , Depth = 1845.64 , Temperature = 20.9331
Bag = 9 , Depth = 1821.27 , Temperature = 24.3527
Bag = 10 , Depth = 1826.73 , Temperature = 20.7377
Bag = 11 , Depth = 1841.78 , Temperature = 20.4446
Bag = 12 , Depth = 1844.14 , Temperature = 20.2491
Bag = 13 , Depth = 1825.33 , Temperature = 20.7377
Bag = 14 , Depth = 1828.81 , Temperature = 20.3468
Bag = 15 , Depth = 1839.33 , Temperature = 20.3468
Bag = 16 , Depth = 1820.33 , Temperature = 20.3468
Bag = 17 , Depth = 1819.18 , Temperature = 20.3468
Bag = 18 , Depth = 1828.95 , Temperature = 21.1676
Bag = 19 , Depth = 1827.63 , Temperature = 21.0308
Bag = 20 , Depth = 1828.62 , Temperature = 21.3239
Bag = 21 , Depth = 1825.93 , Temperature = 21.2262
Bag = 22 , Depth = 1844.43 , Temperature = 20.4446
Bag = 23 , Depth = 1816.14 , Temperature = 20.8354
Bag = 24 , Depth = 1844.89 , Temperature = 21.8124
Bag = 25 , Depth = 1830.03 , Temperature = 20.5423
Bag = 26 , Depth = 1914.25 , Temperature = 20.8354
Bag = 27 , Depth = 1820.68 , Temperature = 21.2262
Bag = 28 , Depth = 1842.28 , Temperature = 21.2262
Bag = 29 , Depth = 1836.26 , Temperature = 20.7377
Bag = 30 , Depth = 1830.72 , Temperature = 20.7377
Bag = 31 , Depth = 1819.32 , Temperature = 21.0308
Bag = 32 , Depth = 1825.62 , Temperature = 21.1285
Bag = 33 , Depth = 1834.23 , Temperature = 23.8642
Bag = 34 , Depth = 1840.54 , Temperature = 20.8354
Bag = 35 , Depth = 1830.52 , Temperature = 19.4675
Bag = 36 , Depth = 1826.14 , Temperature = 19.7606
Bag = 37 , Depth = 1827.47 , Temperature = 20.7377
Bag = 38 , Depth = 1824.22 , Temperature = 21.1285
Bag = 39 , Depth = 1824.38 , Temperature = 20.7377
Bag = 40 , Depth = 1828 , Temperature = 20.3468
Bag = 41 , Depth = 1834.39 , Temperature = 20.3468
Bag = 42 , Depth = 1836.03 , Temperature = 20.1514
Bag = 43 , Depth = 1837.29 , Temperature = 20.64
Bag = 44 , Depth = 1821.93 , Temperature = 19.7606
Bag = 45 , Depth = 1829.18 , Temperature = 19.7606
Bag = 46 , Depth = 1832.26 , Temperature = 20.0537
Bag = 47 , Depth = 1822.14 , Temperature = 20.0537
Bag = 48 , Depth = 1846.83 , Temperature = 20.1514
Bag = 49 , Depth = 1821.51 , Temperature = 18.979
Bag = 50 , Depth = 1837.85 , Temperature = 18.7836
0417195142
Bag = 1 , Depth = 1832.22 , Temperature = 18.3928
Bag = 2 , Depth = 1832.44 , Temperature = 18.6859
Bag = 3 , Depth = 1834.82 , Temperature = 20.9331
Bag = 4 , Depth = 1839.2 , Temperature = 20.9331
Bag = 5 , Depth = 1847.88 , Temperature = 20.5423
Bag = 6 , Depth = 1845.15 , Temperature = 20.9331
Bag = 7 , Depth = 1826.28 , Temperature = 20.4446
Bag = 8 , Depth = 1845.32 , Temperature = 21.0308
Bag = 9 , Depth = 1818.54 , Temperature = 24.3527
Bag = 10 , Depth = 1826.53 , Temperature = 20.7377
Bag = 11 , Depth = 1842.53 , Temperature = 20.4446
Bag = 12 , Depth = 1848.42 , Temperature = 20.2491
Bag = 13 , Depth = 1834.82 , Temperature = 20.8354
Bag = 14 , Depth = 1829.01 , Temperature = 20.3468
Bag = 15 , Depth = 1840.06 , Temperature = 20.3468
