0418161440
Bag = 40 , Depth = 1837 , Pressure = 2.60328 , Temperature = 20.9331
Bag = 41 , Depth = 1836 , Pressure = 2.60187 , Temperature = 20.8354
Bag = 42 , Depth = 1837 , Pressure = 2.6043 , Temperature = 20.64
Bag = 43 , Depth = 1839 , Pressure = 2.60668 , Temperature = 21.2262
Bag = 44 , Depth = 1844 , Pressure = 2.6133 , Temperature = 20.4446
Bag = 45 , Depth = 1831 , Pressure = 2.59529 , Temperature = 20.2491
Bag = 46 , Depth = 1816 , Pressure = 2.57374 , Temperature = 20.64
Bag = 47 , Depth = 1848 , Pressure = 2.61944 , Temperature = 20.64
Bag = 48 , Depth = 1846 , Pressure = 2.61606 , Temperature = 20.8354
Bag = 49 , Depth = 1837 , Pressure = 2.60384 , Temperature = 19.5652
Bag = 50 , Depth = 1845 , Pressure = 2.61477 , Temperature = 19.4675
